Date,Healthcare,Financial,Energy,Utilities,IT,Consumer Discretionary,Consumer staples,Industrials,Telecom,Materials,30 YEAR,Federal funds rate,CPIAUCSL,unemploymentRATE regular,5-year treasury rate,exchange rate,real disposable personal income,PCE,industrail production,import,export,M1,Usrecession,M2,Nominal GDP ,Real GDP
1992/1/1,124.4,82.78,92.5,111.55,69.3,83.7412,96.96,84.89,88.73,81.67,7.401,4.43,138.3,7.3,6.24,74.4082,25913,4101.9,63.8916,94,95.7,909.1,0,3378.7,6329.255,9066.389
1992/2/1,115.58,81.31,87.82,104.68,73.28,85.5786,93.95,85.49,84.4,83.01,7.758,4.03,138.6,7.4,6.58,75.6435,26019,4116.8,64.3381,94,96.3,923.8,0,3398.4,6376.538,9112.924
1992/3/1,113.76,84.15,86.16,102.34,76.58,89.3404,93.81,87.55,81.95,85.08,7.789,4.06,139.1,7.4,6.95,77.3368,26029,4134.3,64.902,93.9,96.2,935.2,0,3403.3,6436.601,9189.205
1992/4/1,107.93,82.55,83.35,101.53,72.76,88.0847,92.65,85.11,81.93,85.45,7.958,3.98,139.4,7.4,6.78,77.4242,26077,4149,65.3746,93.6,96.4,943.4,0,3399.4,6464.839,9196.019
1992/5/1,107.36,83.42,91.84,104.13,73.65,88.6465,93.39,86.99,88.49,90.45,8.036,3.73,139.7,7.6,6.69,77.0866,26178,4176.1,65.5902,94,96.7,949.5,0,3398.5,6450.007,9163.348
1992/6/1,107.33,84.88,94.24,106.44,72.41,88.4783,94.34,85.89,85.72,89.73,7.837,3.82,140.1,7.8,6.48,76.2443,26259,4195,65.6132,94.8,96.5,954,0,3393.8,6562.05,9310.911
1992/7/1,102.15,86.47,91.56,106.37,71.16,88.0721,91.62,83.21,87.09,87.35,7.78,3.76,140.5,7.7,5.84,75.3025,26207,4223,66.1891,95.3,96.6,962.8,0,3393.5,6578.982,9318.62
1992/8/1,108.43,88.64,95.59,113.44,72.84,90.1744,96.8,84.92,92.77,88.57,7.458,3.25,140.8,7.6,5.6,75.1183,26262,4239.3,65.8651,95.7,96.3,972.8,0,3397.5,6577.723,9299.682
1992/9/1,104.45,84.68,97.47,111.24,67.62,87.7921,97.52,81.63,91.56,83.69,7.409,3.3,141.1,7.6,5.38,75.8731,26099,4273.9,66.0268,95.9,96.6,987.3,0,3409.4,6602.939,9321.022
1992/10/1,98.74,87.55,97.22,111.46,68.39,89.8032,98.93,84.68,92.75,83.75,7.381,3.22,141.7,7.3,5.6,77.5271,25901,4303.5,66.511,96.6,96.3,1001.8,0,3421.1,6658.816,9376.473
1992/11/1,101.3,89.58,92.47,110.64,68.1,91.6139,98.81,84.78,91.74,85.14,7.626,3.1,142.1,7.4,6.04,80.1583,25886,4319.5,66.8027,96,96.2,1015.2,0,3426.4,6688.032,9392.599
1992/12/1,103.89,95.26,89.62,109.55,71.53,97.9879,100.66,88.64,93.73,86.8,7.597,3.09,142.3,7.4,6.08,80.8499,26776,4355.6,66.8587,94.4,96.3,1024.6,0,3424.6,6745.811,9450.024
1993/1/1,101.91,99.13,90.33,111.94,69.7,98.3652,99.9,90.64,98.5,87.55,7.396,2.92,142.8,7.3,5.83,82.0023,26250,4359.7,67.1432,94.3,96.4,1029.9,0,3417.5,6737.182,9416.815
1993/2/1,93.65,102.35,92.42,115.16,74.68,102.0572,97.59,91.24,99.25,87.67,7.197,3.02,143.1,7.1,5.43,82.5443,26317,4374.3,67.4314,94.2,96.7,1032.6,0,3413,6753.573,9433.611
1993/3/1,86.83,104.35,96.7,122.06,77.13,101.5754,96.75,91.78,105.85,88.6,6.897,3.03,143.3,7,5.19,82.4072,26205,4371.4,67.3651,94.7,96.6,1037.4,0,3410.6,6753.792,9421.231
1993/4/1,87.4,108.2,100.25,123.2,76.8,104.3681,96.76,94.13,108.29,88.74,6.926,3.07,143.8,7.1,5.13,81.5063,26299,4412.4,67.5583,95.2,96.8,1046,0,3408.1,6789.041,9445.196
1993/5/1,89.06,104.49,101.58,122.5,73.89,98.2348,88,94.8,105,90.65,6.933,2.96,144.2,7.1,5.2,81.8694,26227,4441.3,67.3459,95.5,97.1,1064.6,0,3435.3,6840.219,9490.993
1993/6/1,90.87,104.05,102.79,121.67,80.64,102.4211,89.48,96.78,108.38,92.17,6.98,3,144.3,7,5.22,82.7197,26146,4458.8,67.4753,95,96.9,1074.9,0,3442.1,6859.522,9503.574
1993/7/1,87.49,109.14,101.7,125.37,78.58,99.9907,89.18,97.38,113.79,89.65,6.672,3.04,144.5,6.9,5.09,84.0634,26178,4487.7,67.6707,94.5,97,1083.6,0,3440.5,6854.731,9472.971
1993/8/1,80.75,111.09,102.61,127.79,73.78,101.4128,85.97,98.09,115.27,89.9,6.564,3.06,144.8,6.8,5.03,84.242,26185,4499.9,67.5985,94.4,97,1093.2,0,3444.5,6896.522,9514.374
1993/9/1,83.78,113.8,105.9,132.06,79.45,104.3808,89.1,101.4,119.78,92.01,6.092,3.03,145,6.7,4.73,84.4005,26088,4530.5,67.9241,94.5,96.9,1103.6,0,3451.2,6961.413,9591.11
1993/10/1,82.83,115.71,106.69,130.27,79.76,103.6929,86.77,99.59,117.67,88.09,6.025,3.09,145.6,6.8,4.71,85.4585,25919,4552,68.439,94.9,96.9,1111.1,0,3453.7,6962.292,9574.403
1993/11/1,87.37,108.85,105.82,127.27,81.81,111.3091,92.68,100.6,117.85,91.57,5.97,2.99,146,6.6,5.06,86.6715,25967,4573.4,68.7289,94.4,97,1123.3,0,3468.1,7051.233,9675.396
1993/12/1,89.29,104.95,99.43,119.8,82.82,112.4968,92.91,101.04,111.15,93.76,6.301,3.02,146.3,6.5,5.15,87.518,26827,4590.7,69.0884,93.5,97.3,1129.8,0,3474.7,7085.007,9710.165
1994/1/1,90.72,106.81,100.4,120.71,83.96,110.9579,93.63,105,109.18,96.79,6.348,2.96,146.3,6.6,5.09,90.388,26307,4604.8,69.3476,93.5,98,1131.2,0,3472.9,7094.759,9712.732
1994/2/1,91.05,112.27,105.12,119.11,88.14,113.973,93.91,109.55,112.81,104.47,6.238,3.05,146.7,6.6,5.4,90.4705,26344,4652.3,69.3617,93.9,98,1136.3,0,3474.5,7143.622,9757.59
1994/3/1,85.42,106.02,101.29,111.8,90.5,112.8392,92.93,107.32,106.11,101.46,6.661,3.25,147.1,6.5,5.94,90.9911,26403,4665.4,70.0831,94,98.2,1139.7,0,3479.1,7170.395,9773.579
